id,Taste,Canonical SMILES,Canonicalized Taste Intermediary,Canonicalized Taste,Canonicalized SMILES,Source,Original Labels
PMTDB00796,pungent (tingling);,CC=CC=CC=CCCC=CC(=O)NCC(C)(C)O,undefined,undefined,CC=CC=CC=CCCC=CC(=O)NCC(C)(C)O,phytocompounds_db,pungent (tingling);
PMTDB00797,bitter,CN1C2C3=C(CCN2C(=O)C4=CC=CC=C41)C5=C(N3)C=CC(=C5)O,bitter,bitter,CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccc(O)cc34)C21,phytocompounds_db,bitter
PMTDB00798,pungent (numbing);,CC=CC=CC=CCCC=CC=CC(=O)NCC(C)(C)O,undefined,undefined,CC=CC=CC=CCCC=CC=CC(=O)NCC(C)(C)O,phytocompounds_db,pungent (numbing);
PMTDB00799,pungent (tingling);,CC=CC=CC=CCCC=CC=CC(=O)NCC(C)(C)O,undefined,undefined,CC=CC=CC=CCCC=CC=CC(=O)NCC(C)(C)O,phytocompounds_db,pungent (tingling);
PMTDB00800,bitter,C1CC2C3CC(CN2C(=O)C1)C4CC(CCN4C3)O,bitter,bitter,O=C1CCCC2C3CC(CN12)C1CC(O)CCN1C3,phytocompounds_db,bitter
PMTDB00801,bitter,CCC(C)C(=O)C1=C(O)C(O)(C(=O)C=CC(C)(C)O)C(CC=C(C)C)C1=O,bitter,bitter,CCC(C)C(=O)C1=C(O)C(O)(C(=O)C=CC(C)(C)O)C(CC=C(C)C)C1=O,phytocompounds_db,bitter
PMTDB00802,bitter,C=C1C2C(CC34C(O3)CCC(=CC2OC1=O)COC4O)OC(=O)C(=C)CO,bitter,bitter,C=C(CO)C(=O)OC1CC23OC2CCC(=CC2OC(=O)C(=C)C21)COC3O,phytocompounds_db,bitter
PMTDB00803,pungent (tingling);,CC=CCCC=CCCC=CC=CC(=O)NCC(C)(C)O,undefined,undefined,CC=CCCC=CCCC=CC=CC(=O)NCC(C)(C)O,phytocompounds_db,pungent (tingling);
PMTDB00804,pungent (insufficient evidence),CC(=O)CC1CCCN1C,undefined,undefined,CC(=O)CC1CCCN1C,phytocompounds_db,pungent (insufficient evidence)
PMTDB00805,bitter,CC(=CCO)COC1C(C(C(C(O1)CO)O)OC(=O)CC2=CC=C(C=C2)O)OC(=O)CC3=CC=C(C=C3)O,bitter,bitter,CC(=CCO)COC1OC(CO)C(O)C(OC(=O)Cc2ccc(O)cc2)C1OC(=O)Cc1ccc(O)cc1,phytocompounds_db,bitter
